Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Cost per item,Status,Collection
stoneware-mug,Stoneware Mug,"<p>A 350 ml mug in glazed stoneware with a matte exterior and a smooth, easy-to-clean interior. The handle is sized for four fingers and the base is unglazed to protect surfaces.</p><ul><li>Capacity: 350 ml</li><li>Material: stoneware, lead-free glaze</li><li>Dishwasher and microwave safe</li><li>Made in Portugal</li></ul>",Luma,,Mugs,"tableware, stoneware, ceramics, kitchen, bestseller",TRUE,Color,Sand,,,,,LUMA-MUG-SAND,380,shopify,24,deny,manual,28.00,,TRUE,TRUE,,https://images.pexels.com/photos/6312194/pexels-photo-6312194.jpeg?auto=compress&cs=tinysrgb&w=1600&h=1600&fit=crop,1,Stoneware mugs in sand and white on a wooden tray,FALSE,Stoneware Mug | Luma,"Glazed stoneware mug, 350 ml, dishwasher and microwave safe. Available in Sand, Charcoal and Sage.",https://images.pexels.com/photos/6312194/pexels-photo-6312194.jpeg?auto=compress&cs=tinysrgb&w=1600&h=1600&fit=crop,g,,active,Tableware
stoneware-mug,,,,,,,,,Charcoal,,,,,LUMA-MUG-CHAR,380,shopify,18,deny,manual,28.00,,TRUE,TRUE,,,,,,,,https://images.pexels.com/photos/6754875/pexels-photo-6754875.jpeg?auto=compress&cs=tinysrgb&w=1600&h=1600&fit=crop,g,,,
stoneware-mug,,,,,,,,,Sage,,,,,LUMA-MUG-SAGE,380,shopify,9,deny,manual,28.00,,TRUE,TRUE,,,,,,,,https://images.pexels.com/photos/6312177/pexels-photo-6312177.jpeg?auto=compress&cs=tinysrgb&w=1600&h=1600&fit=crop,g,,,
stoneware-mug,,,,,,,,,,,,,,,,,,,,,,,,,https://images.pexels.com/photos/6754875/pexels-photo-6754875.jpeg?auto=compress&cs=tinysrgb&w=1600&h=1600&fit=crop,2,Charcoal stoneware mug held above a table,,,,,,,,
stoneware-mug,,,,,,,,,,,,,,,,,,,,,,,,,https://images.pexels.com/photos/6312177/pexels-photo-6312177.jpeg?auto=compress&cs=tinysrgb&w=1600&h=1600&fit=crop,3,Two stoneware mugs on a white surface,,,,,,,,
linen-throw-blanket,Linen Throw Blanket,"<p>A 130 × 180 cm throw woven from 100% European flax linen. Stonewashed for softness, with a fringed edge on the short sides. Light enough for summer evenings, layered for winter.</p><ul><li>Size: 130 × 180 cm</li><li>Material: 100% linen, 380 g/m²</li><li>Machine wash cold, tumble dry low</li><li>Made in Lithuania</li></ul>",Luma,,Throws,"textiles, linen, living room, bedroom, new",TRUE,Color,Oat,,,,,LUMA-THROW-OAT,900,shopify,14,deny,manual,120.00,150.00,TRUE,TRUE,,https://images.pexels.com/photos/30618181/pexels-photo-30618181.jpeg?auto=compress&cs=tinysrgb&w=1600&h=1600&fit=crop,1,Beige linen fabric with natural folds,FALSE,Linen Throw Blanket | Luma,"Stonewashed 100% linen throw blanket, 130 × 180 cm, in Oat and Forest.",https://images.pexels.com/photos/30618181/pexels-photo-30618181.jpeg?auto=compress&cs=tinysrgb&w=1600&h=1600&fit=crop,g,,active,Textiles
linen-throw-blanket,,,,,,,,,Forest,,,,,LUMA-THROW-FOR,900,shopify,6,deny,manual,120.00,150.00,TRUE,TRUE,,,,,,,,https://images.pexels.com/photos/6123227/pexels-photo-6123227.jpeg?auto=compress&cs=tinysrgb&w=1600&h=1600&fit=crop,g,,,
linen-throw-blanket,,,,,,,,,,,,,,,,,,,,,,,,,https://images.pexels.com/photos/6123227/pexels-photo-6123227.jpeg?auto=compress&cs=tinysrgb&w=1600&h=1600&fit=crop,2,Knit and linen blankets layered on a bed,,,,,,,,
oak-cutting-board,Oak Cutting Board,"<p>An end-grain cutting board in solid European oak, finished with food-safe mineral oil and beeswax. End grain is gentler on knife edges and self-heals from cuts. Rubber feet keep it stable on the counter.</p><ul><li>Small: 30 × 20 × 3 cm · Large: 45 × 30 × 3.5 cm</li><li>Material: solid oak, food-safe oil finish</li><li>Hand wash only; re-oil monthly</li></ul>",Luma,,Cutting Boards,"kitchen, oak, wood, cooking",TRUE,Size,Small,,,,,LUMA-BOARD-S,1400,shopify,20,deny,manual,45.00,,TRUE,TRUE,,https://images.pexels.com/photos/33937886/pexels-photo-33937886.jpeg?auto=compress&cs=tinysrgb&w=1600&h=1600&fit=crop,1,Oak cutting boards leaning against a kitchen wall,FALSE,Oak Cutting Board | Luma,"End-grain solid oak cutting board with food-safe finish, in two sizes.",https://images.pexels.com/photos/33937886/pexels-photo-33937886.jpeg?auto=compress&cs=tinysrgb&w=1600&h=1600&fit=crop,g,,active,Kitchen
oak-cutting-board,,,,,,,,,Large,,,,,LUMA-BOARD-L,2900,shopify,11,deny,manual,65.00,,TRUE,TRUE,,,,,,,,https://images.pexels.com/photos/4397788/pexels-photo-4397788.jpeg?auto=compress&cs=tinysrgb&w=1600&h=1600&fit=crop,g,,,
oak-cutting-board,,,,,,,,,,,,,,,,,,,,,,,,,https://images.pexels.com/photos/4397788/pexels-photo-4397788.jpeg?auto=compress&cs=tinysrgb&w=1600&h=1600&fit=crop,2,Asparagus and a knife on a wooden board,,,,,,,,
ceramic-table-lamp,Ceramic Table Lamp,"<p>A hand-thrown stoneware base with a reactive glaze, paired with a natural linen drum shade. Takes one E27 bulb (max 40 W, LED recommended) and has an inline switch on a 180 cm fabric cord.</p><ul><li>Height: 48 cm · Shade diameter: 30 cm</li><li>Material: stoneware base, linen shade</li><li>Bulb: E27, not included</li><li>CE certified</li></ul>",Luma,,Table Lamps,"lighting, ceramics, living room, bedroom, low-stock",TRUE,Title,Default Title,,,,,LUMA-LAMP-01,2200,shopify,2,deny,manual,180.00,,TRUE,TRUE,,https://images.pexels.com/photos/29909645/pexels-photo-29909645.jpeg?auto=compress&cs=tinysrgb&w=1600&h=1600&fit=crop,1,Lit ceramic table lamp in a dark room,FALSE,Ceramic Table Lamp | Luma,"Hand-thrown ceramic table lamp with linen shade, E27, 48 cm tall.",https://images.pexels.com/photos/29909645/pexels-photo-29909645.jpeg?auto=compress&cs=tinysrgb&w=1600&h=1600&fit=crop,g,,active,Lighting & Decor
ceramic-table-lamp,,,,,,,,,,,,,,,,,,,,,,,,,https://images.pexels.com/photos/34526806/pexels-photo-34526806.jpeg?auto=compress&cs=tinysrgb&w=1600&h=1600&fit=crop,2,Ceramic lamp and vase on a wooden table,,,,,,,,
soy-candle-cedar-fig,Soy Candle · Cedar & Fig,"<p>Hand-poured soy wax candle with a cotton wick and a blend of cedarwood, fig leaf and a touch of amber. Comes in an amber glass jar with a lid, so it can be reused when the wax is gone.</p><ul><li>8 oz: about 40 hours · 14 oz: about 70 hours</li><li>Material: 100% soy wax, cotton wick, amber glass</li><li>Trim the wick to 5 mm before each burn</li></ul>",Luma,,Candles,"decor, candle, soy, gift",TRUE,Size,8 oz,,,,,LUMA-CANDLE-8,320,shopify,40,deny,manual,32.00,,TRUE,TRUE,,https://images.pexels.com/photos/6634662/pexels-photo-6634662.jpeg?auto=compress&cs=tinysrgb&w=1600&h=1600&fit=crop,1,Soy candles in glass jars on a round tray,FALSE,Soy Candle · Cedar & Fig | Luma,"Hand-poured soy candle with cedar and fig, in 8 oz and 14 oz amber glass jars.",https://images.pexels.com/photos/6634662/pexels-photo-6634662.jpeg?auto=compress&cs=tinysrgb&w=1600&h=1600&fit=crop,g,,active,Lighting & Decor
soy-candle-cedar-fig,,,,,,,,,14 oz,,,,,LUMA-CANDLE-14,560,shopify,22,deny,manual,48.00,,TRUE,TRUE,,,,,,,,https://images.pexels.com/photos/20179858/pexels-photo-20179858.jpeg?auto=compress&cs=tinysrgb&w=1600&h=1600&fit=crop,g,,,
soy-candle-cedar-fig,,,,,,,,,,,,,,,,,,,,,,,,,https://images.pexels.com/photos/20179858/pexels-photo-20179858.jpeg?auto=compress&cs=tinysrgb&w=1600&h=1600&fit=crop,2,Candles in amber glass jars with wooden wicks,,,,,,,,
linen-cushion-cover,Linen Cushion Cover,"<p>A cushion cover in heavyweight stonewashed linen with a hidden zip along the bottom seam. Sold without the insert. Colours are yarn-dyed, so they hold up to washing.</p><ul><li>Sizes: 45 × 45 cm and 50 × 50 cm</li><li>Material: 100% linen, 480 g/m²</li><li>Machine wash cold</li><li>Insert sold separately</li></ul>",Luma,,Cushion Covers,"textiles, linen, living room, sofa",TRUE,Size,45 × 45 cm,Color,Rust,,,LUMA-CUSH-45-RUST,260,shopify,16,deny,manual,55.00,,TRUE,TRUE,,https://images.pexels.com/photos/8762877/pexels-photo-8762877.jpeg?auto=compress&cs=tinysrgb&w=1600&h=1600&fit=crop,1,Stack of linen cushions in earthy tones,FALSE,Linen Cushion Cover | Luma,"Heavyweight stonewashed linen cushion cover with hidden zip, in two sizes and two colours.",https://images.pexels.com/photos/8762877/pexels-photo-8762877.jpeg?auto=compress&cs=tinysrgb&w=1600&h=1600&fit=crop,g,,active,Textiles
linen-cushion-cover,,,,,,,,,45 × 45 cm,,Stone,,,LUMA-CUSH-45-STONE,260,shopify,12,deny,manual,55.00,,TRUE,TRUE,,,,,,,,https://images.pexels.com/photos/8762876/pexels-photo-8762876.jpeg?auto=compress&cs=tinysrgb&w=1600&h=1600&fit=crop,g,,,
linen-cushion-cover,,,,,,,,,50 × 50 cm,,Rust,,,LUMA-CUSH-50-RUST,300,shopify,0,deny,manual,65.00,,TRUE,TRUE,,,,,,,,https://images.pexels.com/photos/8762877/pexels-photo-8762877.jpeg?auto=compress&cs=tinysrgb&w=1600&h=1600&fit=crop,g,,,
linen-cushion-cover,,,,,,,,,50 × 50 cm,,Stone,,,LUMA-CUSH-50-STONE,300,shopify,8,deny,manual,65.00,,TRUE,TRUE,,,,,,,,https://images.pexels.com/photos/8762876/pexels-photo-8762876.jpeg?auto=compress&cs=tinysrgb&w=1600&h=1600&fit=crop,g,,,
linen-cushion-cover,,,,,,,,,,,,,,,,,,,,,,,,,https://images.pexels.com/photos/8762876/pexels-photo-8762876.jpeg?auto=compress&cs=tinysrgb&w=1600&h=1600&fit=crop,2,Folded cushions stacked on a chair,,,,,,,,
glass-carafe-and-cup,Glass Carafe with Cup,"<p>A 1 litre carafe in borosilicate glass with a matching cup that doubles as its lid. Keeps water on the nightstand or the table without a stopper to lose.</p><ul><li>Capacity: 1 l carafe, 250 ml cup</li><li>Material: borosilicate glass</li><li>Dishwasher safe</li></ul>",Luma,,Carafes,"tableware, glass, kitchen, bedroom",TRUE,Title,Default Title,,,,,LUMA-CARAFE-01,650,shopify,30,deny,manual,38.00,48.00,TRUE,TRUE,,https://images.pexels.com/photos/8183769/pexels-photo-8183769.jpeg?auto=compress&cs=tinysrgb&w=1600&h=1600&fit=crop,1,Glass carafe of water on a wooden tray,FALSE,Glass Carafe with Cup | Luma,1 litre borosilicate glass carafe with a cup that works as the lid.,https://images.pexels.com/photos/8183769/pexels-photo-8183769.jpeg?auto=compress&cs=tinysrgb&w=1600&h=1600&fit=crop,g,,active,Tableware
glass-carafe-and-cup,,,,,,,,,,,,,,,,,,,,,,,,,https://images.pexels.com/photos/6715989/pexels-photo-6715989.jpeg?auto=compress&cs=tinysrgb&w=1600&h=1600&fit=crop,2,Clear glassware and carafe on a reflective surface,,,,,,,,
brass-wall-hook-set,Brass Wall Hook · Set of 3,"<p>Three solid brass hooks with a brushed, unlacquered finish that develops a patina over time. Each hook holds up to 5 kg. Screws and wall plugs included.</p><ul><li>Hook size: 6 × 3 cm · Projection: 4 cm</li><li>Material: solid brass, unlacquered</li><li>Set of 3 with fixings</li></ul>",Luma,,Wall Hooks,"decor, brass, hallway, bathroom, storage",TRUE,Title,Default Title,,,,,LUMA-HOOK-3,420,shopify,35,deny,manual,34.00,,TRUE,TRUE,,https://images.pexels.com/photos/36650043/pexels-photo-36650043.jpeg?auto=compress&cs=tinysrgb&w=1600&h=1600&fit=crop,1,Brass wall hook casting a shadow on a textured wall,FALSE,Brass Wall Hook · Set of 3 | Luma,Set of three solid brass wall hooks with brushed unlacquered finish and fixings.,https://images.pexels.com/photos/36650043/pexels-photo-36650043.jpeg?auto=compress&cs=tinysrgb&w=1600&h=1600&fit=crop,g,,active,Lighting & Decor
brass-wall-hook-set,,,,,,,,,,,,,,,,,,,,,,,,,https://images.pexels.com/photos/4889039/pexels-photo-4889039.jpeg?auto=compress&cs=tinysrgb&w=1600&h=1600&fit=crop,2,Brass wall hook holding a towel,,,,,,,,
brass-wall-hook-set,,,,,,,,,,,,,,,,,,,,,,,,,https://images.pexels.com/photos/36650042/pexels-photo-36650042.jpeg?auto=compress&cs=tinysrgb&w=1600&h=1600&fit=crop,3,Brass coat hook on a textured wall,,,,,,,,
handwoven-jute-rug,Handwoven Jute Rug,"<p>A flatweave rug hand-loomed from natural jute fibre, with a bound edge. Jute is durable and has a soft, uneven texture; it is best in dry rooms and rotated every few months to wear evenly.</p><ul><li>Sizes: 120 × 180 cm and 160 × 230 cm</li><li>Material: 100% jute</li><li>Spot clean; use with a rug pad on hard floors</li></ul>",Luma,,Rugs,"textiles, jute, living room, natural fibre",TRUE,Size,120 × 180 cm,,,,,LUMA-RUG-120,4200,shopify,7,deny,manual,190.00,,TRUE,TRUE,,https://images.pexels.com/photos/36346077/pexels-photo-36346077.jpeg?auto=compress&cs=tinysrgb&w=1600&h=1600&fit=crop,1,Close-up of woven jute texture,FALSE,Handwoven Jute Rug | Luma,"Hand-loomed natural jute flatweave rug with bound edge, in two sizes.",https://images.pexels.com/photos/36346077/pexels-photo-36346077.jpeg?auto=compress&cs=tinysrgb&w=1600&h=1600&fit=crop,g,,active,Textiles
handwoven-jute-rug,,,,,,,,,160 × 230 cm,,,,,LUMA-RUG-160,7100,shopify,4,deny,manual,290.00,,TRUE,TRUE,,,,,,,,https://images.pexels.com/photos/8113012/pexels-photo-8113012.jpeg?auto=compress&cs=tinysrgb&w=1600&h=1600&fit=crop,g,,,
handwoven-jute-rug,,,,,,,,,,,,,,,,,,,,,,,,,https://images.pexels.com/photos/8113012/pexels-photo-8113012.jpeg?auto=compress&cs=tinysrgb&w=1600&h=1600&fit=crop,2,Jute rug on a living room floor,,,,,,,,
walnut-serving-tray,Walnut Serving Tray,"<p>A rectangular tray in solid American walnut with raised edges and cut-out handles, finished with food-safe oil. Fits a French press and two cups, or a small breakfast.</p><ul><li>Size: 40 × 28 × 4 cm</li><li>Material: solid walnut, food-safe oil finish</li><li>Wipe clean; re-oil as needed</li></ul>",Luma,,Serving Trays,"tableware, walnut, wood, kitchen, gift",TRUE,Title,Default Title,,,,,LUMA-TRAY-01,1100,shopify,15,deny,manual,72.00,,TRUE,TRUE,,https://images.pexels.com/photos/6962405/pexels-photo-6962405.jpeg?auto=compress&cs=tinysrgb&w=1600&h=1600&fit=crop,1,Wooden serving tray with ginger and cinnamon sticks,FALSE,Walnut Serving Tray | Luma,"Solid walnut serving tray with raised edges and cut-out handles, 40 × 28 cm.",https://images.pexels.com/photos/6962405/pexels-photo-6962405.jpeg?auto=compress&cs=tinysrgb&w=1600&h=1600&fit=crop,g,,active,Tableware
walnut-serving-tray,,,,,,,,,,,,,,,,,,,,,,,,,https://images.pexels.com/photos/20141192/pexels-photo-20141192.jpeg?auto=compress&cs=tinysrgb&w=1600&h=1600&fit=crop,2,"Wooden tray with coffee, water and biscuits",,,,,,,,
matte-black-kettle,Matte Black Stovetop Kettle,"<p>A 1.5 litre stovetop kettle in powder-coated stainless steel with a gooseneck spout for controlled pouring. Works on gas, electric and induction hobs. The handle stays cool and the lid lifts off for filling.</p><ul><li>Capacity: 1.5 l</li><li>Material: stainless steel, matte powder coat</li><li>Induction compatible</li><li>Hand wash</li></ul>",Luma,,Kettles,"kitchen, coffee, tea, stainless steel",TRUE,Title,Default Title,,,,,LUMA-KETTLE-01,1300,shopify,10,deny,manual,95.00,115.00,TRUE,TRUE,,https://images.pexels.com/photos/38370343/pexels-photo-38370343.jpeg?auto=compress&cs=tinysrgb&w=1600&h=1600&fit=crop,1,Black kettle steaming on a kitchen counter,FALSE,Matte Black Stovetop Kettle | Luma,"1.5 l matte black gooseneck stovetop kettle, induction compatible.",https://images.pexels.com/photos/38370343/pexels-photo-38370343.jpeg?auto=compress&cs=tinysrgb&w=1600&h=1600&fit=crop,g,,active,Kitchen
matte-black-kettle,,,,,,,,,,,,,,,,,,,,,,,,,https://images.pexels.com/photos/10935105/pexels-photo-10935105.jpeg?auto=compress&cs=tinysrgb&w=1600&h=1600&fit=crop,2,Black cup and kettle on a wooden table,,,,,,,,
waffle-bath-towel,Cotton Waffle Bath Towel,"<p>A bath towel in long-staple cotton waffle weave. Lighter than terry, quick to dry and more absorbent with every wash. Hemmed edges with a hanging loop.</p><ul><li>Size: 70 × 140 cm</li><li>Material: 100% long-staple cotton, 320 g/m²</li><li>Machine wash warm, tumble dry low</li><li>OEKO-TEX certified</li></ul>",Luma,,Bath Towels,"textiles, cotton, bathroom, waffle",TRUE,Color,White,,,,,LUMA-TOWEL-WHT,450,shopify,26,deny,manual,42.00,,TRUE,TRUE,,https://images.pexels.com/photos/4210372/pexels-photo-4210372.jpeg?auto=compress&cs=tinysrgb&w=1600&h=1600&fit=crop,1,Folded beige towels on a white stool,FALSE,Cotton Waffle Bath Towel | Luma,"Quick-drying 100% cotton waffle bath towel, 70 × 140 cm, in White and Clay.",https://images.pexels.com/photos/7691101/pexels-photo-7691101.jpeg?auto=compress&cs=tinysrgb&w=1600&h=1600&fit=crop,g,,active,Textiles
waffle-bath-towel,,,,,,,,,Clay,,,,,LUMA-TOWEL-CLAY,450,shopify,19,deny,manual,42.00,,TRUE,TRUE,,,,,,,,https://images.pexels.com/photos/4210372/pexels-photo-4210372.jpeg?auto=compress&cs=tinysrgb&w=1600&h=1600&fit=crop,g,,,
waffle-bath-towel,,,,,,,,,,,,,,,,,,,,,,,,,https://images.pexels.com/photos/7691101/pexels-photo-7691101.jpeg?auto=compress&cs=tinysrgb&w=1600&h=1600&fit=crop,2,White towels stacked on a table,,,,,,,,
stoneware-vase,Stoneware Vase,"<p>A wheel-thrown vase in speckled stoneware with a narrow neck that holds a few stems or a single branch. Glazed inside, so it is watertight; unglazed outside for a raw, matte finish.</p><ul><li>Height: 22 cm · Diameter: 11 cm</li><li>Material: speckled stoneware</li><li>Wipe clean</li></ul>",Luma,,Vases,"decor, ceramics, stoneware, living room, new",TRUE,Title,Default Title,,,,,LUMA-VASE-01,700,shopify,13,deny,manual,58.00,,TRUE,TRUE,,https://images.pexels.com/photos/6770266/pexels-photo-6770266.jpeg?auto=compress&cs=tinysrgb&w=1600&h=1600&fit=crop,1,White stoneware vase with dried grass on a grey background,FALSE,Stoneware Vase | Luma,"Wheel-thrown speckled stoneware vase, 22 cm, watertight glazed interior.",https://images.pexels.com/photos/6770266/pexels-photo-6770266.jpeg?auto=compress&cs=tinysrgb&w=1600&h=1600&fit=crop,g,,active,Lighting & Decor
stoneware-vase,,,,,,,,,,,,,,,,,,,,,,,,,https://images.pexels.com/photos/33105316/pexels-photo-33105316.jpeg?auto=compress&cs=tinysrgb&w=1600&h=1600&fit=crop,2,Ceramic vase on a textured shelf,,,,,,,,
